iter	RMSE
0	8431.659636
1	7642.574887
2	6989.428707
3	6374.388608
4	5864.475811
5	5337.922126
6	4895.662253
7	4457.660464
8	4064.150893
9	3716.321762
10	3391.243753
11	3103.813615
12	2834.485939
13	2611.16411
14	2398.13033
15	2211.044609
16	2045.375506
17	1897.724375
18	1769.435224
19	1647.513594
20	1537.867905
21	1438.366643
22	1346.376798
23	1271.354453
24	1214.265646
25	1154.208345
26	1112.550225
27	1070.568368
28	1036.22818
29	1003.263152
30	973.481897
31	950.2956007
32	930.947143
33	917.683891
34	903.997046
35	893.716315
36	882.4351193
37	873.3344567
38	864.7798504
39	857.1446063
40	851.1382788
41	846.2355526
42	841.5516444
43	838.0838092
44	835.7658839
45	833.4537774
46	830.0098775
47	827.8843223
48	826.905441
49	825.2346534
50	822.3323111
51	820.1735816
52	819.447911
53	818.5068714
54	818.0938831
55	816.1382451
56	814.3488565
57	812.7484208
58	812.3330225
59	811.0015077
60	809.9203003
61	809.460658
62	808.3765518
63	807.5225467
64	806.7109886
65	806.5774419
66	806.4388936
67	806.2333639
68	805.6598876
69	804.9754757
70	804.5185252
71	803.9591628
72	803.8853879
73	803.7725867
74	803.7221208
75	803.6704085
76	803.6288254
77	803.5237361
78	803.5044993
79	803.4931894
80	802.9609658
81	802.6099464
82	802.5909451
83	802.2641052
84	801.8426806
85	801.5057327
86	801.2489067
87	800.9017148
88	800.6044875
89	800.5149195
90	800.1459124
91	799.9380993
92	799.723741
93	799.3582627
94	799.1730015
95	798.9939356
96	798.9424099
97	798.8303042
98	798.6619558
99	798.4920181
