iter	Passed	Remaining
0	0	92
1	1	86
2	2	77
3	3	77
4	3	72
5	4	70
6	5	70
7	6	70
8	6	69
9	7	68
10	8	67
11	9	66
12	9	66
13	10	65
14	11	65
15	12	64
16	13	64
17	13	63
18	14	63
19	15	62
20	16	61
21	17	60
22	18	60
23	18	60
24	19	59
25	20	58
26	21	57
27	22	56
28	22	56
29	23	55
30	24	54
31	25	53
32	26	53
33	26	52
34	27	51
35	28	50
36	29	49
37	30	49
38	30	48
39	31	47
40	32	46
41	33	46
42	34	45
43	34	44
44	35	43
45	36	42
46	37	42
47	38	41
48	38	40
49	39	39
50	40	38
51	40	37
52	41	37
53	42	36
54	43	35
55	44	34
56	44	33
57	45	33
58	46	32
59	47	31
60	48	30
61	48	30
62	49	29
63	50	28
64	51	27
65	52	26
66	52	25
67	53	25
68	54	24
69	55	23
70	55	22
71	56	22
72	57	21
73	58	20
74	58	19
75	59	18
76	60	18
77	61	17
78	62	16
79	62	15
80	63	14
81	64	14
82	64	13
83	65	12
84	66	11
85	67	10
86	68	10
87	68	9
88	69	8
89	70	7
90	71	7
91	71	6
92	73	5
93	73	4
94	74	3
95	75	3
96	76	2
97	77	1
98	78	0
99	79	0
