iter	RMSE
0	8894.010546
1	8522.810273
2	8162.037553
3	7847.097003
4	7532.360118
5	7229.241957
6	6949.529797
7	6659.720205
8	6387.312327
9	6129.509723
10	5885.460692
11	5648.326805
12	5445.943236
13	5241.121956
14	5045.911674
15	4852.257943
16	4655.226833
17	4483.386845
18	4310.117238
19	4150.47159
20	4000.614919
21	3856.742554
22	3707.607862
23	3576.956243
24	3446.279293
25	3321.902006
26	3214.700733
27	3084.432433
28	2967.037451
29	2867.248757
30	2764.779274
31	2671.346436
32	2571.654263
33	2480.051687
34	2397.593032
35	2317.936904
36	2237.3177
37	2163.129066
38	2091.528989
39	2021.808381
40	1962.651915
41	1897.538939
42	1839.752194
43	1785.007073
44	1730.307057
45	1683.199647
46	1635.192317
47	1588.013238
48	1548.441115
49	1508.986175
50	1466.89647
51	1429.943249
52	1392.26331
53	1359.885243
54	1327.501765
55	1296.621665
56	1267.626266
57	1239.168764
58	1213.534173
59	1191.940997
60	1172.221248
61	1153.153774
62	1132.820137
63	1113.852528
64	1095.122908
65	1079.56656
66	1066.088847
67	1049.039497
68	1034.920341
69	1022.506756
70	1010.290393
71	996.3134361
72	987.3003835
73	975.8522474
74	967.6092978
75	956.9687964
76	949.3941071
77	940.9331437
78	932.9740132
79	925.7111496
80	920.303812
81	912.9564834
82	906.3961548
83	900.0913688
84	895.717181
85	890.2163705
86	886.5201122
87	882.6544946
88	878.0574056
89	874.2078257
90	869.4784582
91	864.516469
92	861.6444246
93	858.8524999
94	856.2596305
95	853.6333949
96	850.4217283
97	848.0410598
98	846.9508358
99	844.4636508
100	842.4698216
101	839.9849586
102	837.9354488
103	836.1171492
104	834.1574795
105	833.0764031
106	831.2948233
107	829.8377881
108	828.4602986
109	827.7173323
110	826.8217038
111	825.5517527
112	823.9973941
113	822.8679824
114	822.1378105
115	821.3667019
116	820.0111447
117	818.6353016
118	818.1830402
119	817.433293
120	816.5122459
121	815.5748052
122	815.090635
123	814.5780131
124	813.4149313
125	812.9031934
126	812.6329612
127	812.2715198
128	811.8459226
129	811.0637497
130	810.5204322
131	809.8118506
132	809.0744899
133	808.3316231
134	807.7335244
135	807.1183149
136	806.3918131
137	805.753239
138	805.1307872
139	804.693583
140	804.3295975
141	803.6753913
142	803.4265139
143	803.3413751
144	802.9200361
145	802.0297032
146	801.6074704
147	800.8990331
148	800.3241972
149	799.4419376
150	798.9539219
151	798.5692084
152	798.1803969
153	797.6022613
154	797.4587646
155	796.8775837
156	796.3658904
157	795.9991979
158	795.3040995
159	794.6544213
160	794.3918842
161	794.2208637
162	793.6069126
163	793.1164806
164	792.8588356
165	792.4071572
166	791.9246374
167	791.3951042
168	791.1046487
169	791.0622986
170	790.563707
